,MARCA_lvhtn
VOLKSWAGEN,106679
RENAULT,104154
FORD,100450
FIAT,93196
CHEVROLET,74662
PEUGEOT,68135
TOYOTA,21807
CITROEN,18787
HONDA,10674
MERCEDES BENZ,10246
SUZUKI,6348
DODGE,5213
NISSAN,4881
HYUNDAI,2632
KIA,2403
AUDI,2343
BMW,2289
MITSUBISHI,2065
JEEP,1704
CHERY,1477
VOLKSWAGEN                    ,1449
IVECO,1329
CHRYSLER,1305
RASTROJERO DIESEL,1127
FORD                          ,1120
RENAULT                       ,1079
ALFA ROMEO,981
CHEVROLET                     ,981
DAIHATSU,961
FIAT                          ,890
PEUGEOT                       ,875
HELVETICA,859
SCANIA,856
SEAT,809
DAEWOO,677
ROVER,670
TORINO,655
MONTENEGRO,616
MAZDA,526
SUBARU,525
VOLVO,507
DACIA,394
TOYOTA                        ,392
SOLA Y BRUSA,375
LAND ROVER,374
IES,333
OPEL,326
RANDON,317
MINI,273
SALTO,273
HERMANN,259
GALLOPER,255
SSANGYONG,254
CITROEN                       ,252
GMC CHEVETTE,251
LADA,241
JEEP IKA,239
MALDONADO,225
ASTIVIA,186
FORD FALCON,183
OMBU,176
DI TELLA,160
A.F.F.,159
BONANO,157
GMC,151
HONDA                         ,127
ESTANCIERA IKA,119
JEEP ESTANCIERA,119
WILLYS,115
RASTROJERO,114
RAMBLER IKA,110
PETINARI,110
DATSUN,109
AUTO UNION,109
PORSCHE,106
TATA,104
AFF,97
MERCEDES BENZ                 ,97
DE SOTO,97
LAMBERT,97
AST-PRA,95
RAM,92
PRATI-FRUEHAUF,92
VALIANT,87
FARGO,87
CORMETAL,87
EL DETALLE,80
MARUTI,75
NISSAN                        ,72
F.H.,70
GORDINI IKA,67
GOLONDRINA,66
GOMATRO,66
GROSS,65
IME,64
ULTRANS,62
PRATI FRUEHAUF,61
TAHNOS,60
IKA RENAULT,60
CRESCENTE,58
AIELLO,56
GRASSANI,56
SMART,55
C.M.,55
JEEP T-80,55
SUZUKI                        ,54
MONTEBRAS,53
ARGENTA,52
VULCANO,52
DEUTZ - AGRALE,45
INTEGRAL,43
M.BENZ,43
-136-VOLKSWAGEN,42
SATURNI,42
HYUNDAI                       ,41
PRATI,40
VALIANT III,40
ARO,38
SUZUKI SWIFT GTI,38
SAAB,38
RENAULT 4-L,37
RAMBLER,37
IKA TORINO 380,37
AGRALE,36
AUDI                          ,36
VALIANT IV,35
PROTON,35
PATRONELLI,34
CHRYSLER-DODGE,33
LAMOPI,33
M. BENZ,33
SUZUKI SWIFT SEDAN NLX,33
PLYMOUTH,33
INDECAR,33
JEEP GLADIATOR,32
IKA-RENAULT,32
CHERY                         ,32
GROSSPAL,31
DIMEX,31
SCANIA VABIS,31
JAGUAR,31
INTERNATIONAL,30
ACOPLAR,30
ALEKO,30
DODGE                         ,29
MILEI,29
DEUTZ,29
RENAULT IKA,28
DEUTZ-AGRALE,28
SAAB SCANIA,28
MARCA   INVALIDA,26
DECAROLI,26
OLTCIT,26
SANTANA,26
SIN MARCA,26
TAVRIA,25
I.K.A.,25
GENERAL MOTORS,24
RUTERA,24
BMW                           ,24
TORRESI,24
IKA JEEP,23
RIMEK,23
PLUSCARGA,23
RASTROJERO DIES,23
JEEP GLADIATOR V SUPER,23
NAVATUC NT,23
SUZUKI VITARA,23
DARWIN,22
POLARIS,22
IKA TORINO,22
BAQUEANO IKA,22
MERCURY,22
SABINO,21
-044-FIAT,21
IVECO                         ,21
GUERRA,21
ARMADO FUERA DE FABRICA,21
DAEWO,21
JEEP GLADIATOR 500,21
DE CARLO,21
STUDEBAKER,20
FRUEHAUF,20
EL FIERRO,20
ISARD,20
ESTANCIERA,20
IKA RAMBLER,20
DANES,20
MORRIS,20
JEEP WILLYS,19
BORGWARD,19
JEEP-IKA,19
MIC,19
MARCELINI,19
MITSUBISHI                    ,18
PINCEN,18
KIA                           ,18
SKODA,18
IKA RENAULT 850,17
DEPAOLI,17
SIAM DI TELLA,17
NAKAI,17
NISSAN DIESEL,17
PRATTI,16
YUEJIN,16
JEEP                          ,16
CHRYSLER DODGE,16
CHRYSLER                      ,16
-024-CHEVROLET,16
AUSTIN MORRIS,16
GAMMA,15
KAISER,15
LA GALLARETA,15
VOLKSWAGEN (136),15
NO CONSTA,15
NOMA,15
IKA TORINO 300,15
BELAVTOMAZ,15
G.M.C.,15
NAVARRO HNOS.,15
IKA ESTANCIERA,15
FERRARI,15
REARMADO,15
INTERNACIONAL,14
RILEY,14
ROMAPAR,14
-047-FORD,14
ANDARIEGA,14
DEUTZ AGRALE,13
AUTOMOVIL,13
COOPERTAN,13
LANCIA,13
RENAULT DAUPHINE IKA,13
JEEP GLADIATOR X SUPER,13
RANQUEL,13
AGROCABINA,12
RENAULT DAUPHINE,12
SUZUKI SWIFT SEDAN NL,12
G.M.A.,12
HEIL,12
DAHIATSU,12
METALURGICA ALEM,12
CHEVETTE,12
RENAULT 4 L,12
FORD TAUNUS,12
DFM,12
MARCOPOLO,12
INNOCENTI,11
BAQUEANO 500 IKA,11
LEO-COR,11
CITROEN 2 CV,11
MONTESUR,11
UAZ,11
RENAULT DAUPHIN,11
OLDSMOBILE,11
A.F.F,11
FANGIO,11
TRENQUEMOLQUE,11
3-STAR,11
-112-RENAULT,11
H.C. MANCINI,10
MACK,10
MAGIRUS DEUTZ,10
IDEROL,10
CADILLAC,10
M BENZ,10
IKA-TORINO,10
KOLLER,10
ISUZU                         ,10
VALIANT II,10
PONTIAC,10
JEEP GLADIADOR,9
LIFAN,9
WHELAN,9
KOL,9
GIAGANTE Y TOMASSETTI,9
SUZUKI SWIFT SEDAN GLX,9
DAEWOO                        ,9
JEEP GLADIATOR 1000,9
LEYLAND,9
-136- VOLKSWAGEN,9
GAZ,9
ZANELLO,9
FREIGHTLINER,9
VOLVO                         ,8
ANAHI,8
GMC CHEVETTE (GENERAL MOTORS C,8
RAMBLER-IKA,8
PIAGGIO,8
DKW,8
JEEP FRONTAL,8
FORD MUSTANG,8
G.M.C. CHEVETTE,8
RUGBY,8
AMANCAY,8
GORDINI,8
CUMBRE,8
"FORD ""A""",8
GORDINI-IKA,8
ACOPLANOA,8
DAIHATSU                      ,8
SCANIA                        ,8
DODGE POLARA,8
ROSSI,8
MORALES,7
KAISER CARABELA,7
FALCON,7
LA HELVETICA,7
BIANCHI,7
FIAT (028),7
C.M,7
KIA MOTORS,7
REO,7
JAC,7
DE CARLO 700,7
LA ATOMICA,7
DODGE CORONADO,7
BELGRANO METALURGICA BELGRANO,7
BERTONE,7
PACKARD,7
DI TELLA 1500,7
DODGE GTX,7
MAESTRO,7
GENTILI,6
ROSSO LEONES,6
AEOLUS,6
PEUGEOT (010),6
JEEP ESTANCIERA IKA,6
ASTIVIA S.A.,6
RAS,6
BUICK,6
MANCINI,6
FORD (047),6
M.CORDANI,6
NAVARRO HNOS,6
ROSSO-LEONES,6
IKA-TORINO 380,6
AUSTIN,6
JEEP I.K.A.,6
-127-SUZUKI,6
RASTROJERO DIESEL             ,6
DITELLA,6
DKW UNION,6
SORAZABAL,6
MASERATI,6
F. H.,6
AMC,6
JEEP IKA                      ,6
IKA TORINO S,6
GMC (GENERAL MOTORS CORPORATIO,6
DKW AUTO UNION,6
FACCHINI,6
CITROEN 2CV,6
DS,6
BLAC,6
AUTOAR,6
MERCEDES BENZ/COMIL,6
MAN,6
JEEP UTILITARIO,5
MERCEDES BENZ/MARCOPOLO,5
-047- FORD,5
GALLO,5
-130-TOYOTA,5
LG,5
TORINO                        ,5
SALTO                         ,5
CORDANI,5
MERCEDES-BENZ                 ,5
FIAT (044),5
LUIS IGLESIAS,5
PEGASO,5
BACO,5
RENAULT (033),5
RENAULT GORDINI,5
LAND ROVER SANTANA,5
IKA                           ,5
ASTRA,5
CISITALIA,5
FIAT 600,5
ROVER                         ,5
BAQUEANO,5
STAR,5
IZH,5
METALURGICA FRANCK,5
KRONE,5
DI POLVERE,5
-055-HONDA,5
GUAJARDO Y LINARES,5
SANXING,5
-024- CHEVROLET,5
MARCHETTI,5
ALFA ROMEO                    ,5
GRUMMAN OLSON,5
I.K.A,5
OTROS,4
SUZUKI SWIFT GT,4
MANUALE,4
MALDONADO HNOS.,4
H.C.MANCINI,4
IKA TORINO 380 W,4
MIRBAL,4
EVELEENS,4
-027-CITROEN,4
P.U.RILEY,4
AUSTIN HEALEY,4
CHEVROLET (024),4
MAHINDRA,4
BOYITA,4
IKA-TORINO S,4
KAISER BERGANTIN,4
CHEVROLET LUV,4
COQUITO,4
TOYOTA (030),4
AGRALE/NEOBUS,4
LINCOLN,4
WILLIS,4
LGP,4
#?NOMBRE?,4
CHEVROLET (006),4
MONTRAILER,4
WULING,4
-130- TOYOTA,4
LEXUS,4
HANSA,4
MARSICO,4
I.M.E.,4
DELAHAYE,4
-044- FIAT,4
-104- PEUGEOT,4
ECOMEC,4
URAL,4
SAYI,4
GMC 500,4
UNION,4
ASTIVIA                       ,4
ARCTIC CAT,4
HAN JIANG,4
AUTO,4
GLADIATOR,4
TIANJIN,4
NAVARRO HNOS SRL,4
CHEVROLET MONZA SL/E,4
RENAULT ARGENTINA S.A.,4
AUTO BIANCHI,4
AGRALE/COMIL,4
CASA RODANTE,3
FIAT 1500,3
136 VOLKSWAGEN,3
SEAT                          ,3
"""CM""",3
FORD F-100,3
BENZI,3
JEEP T 80,3
S/MARCA,3
SIAM ARGENTA,3
CAN-AM,3
METRO,3
KAMAZ,3
RANGE ROVER,3
INSTITEC,3
MINI                          ,3
TEAS,3
SHELBY,3
----,3
S/M,3
FERESA,3
ME-LIN,3
JMC,3
JEEP GLADIETOR,3
GAVIOTA,3
WHITE,3
VAUXHALL,3
IKA TORINO 300 S,3
RANDON                        ,3
D.K.W.,3
KENWORTH,3
SOLA Y BRUSA SA,3
-,3
MARTINA,3
IKA-JEEP,3
A F F,3
HUMMER,3
INDUTEK,3
JEEP BAQUEANO,3
ENIAK,3
JEEP BAQUEANO 500,3
MARCA,3
 HELVETICA,3
IKA BAQUEANO,3
MERC. BENZ,3
#+NOMBRE?,3
FNV,3
NANDUBAY,3
I.M.E,3
HELVETICA                     ,3
IES                           ,3
CFMOTO,3
PEUGEOT (039),3
 SALTO,3
CHEVROLET CAPRICE,3
OLDSMOVILE,3
COMMER,3
HUDSON,3
NSU,3
IKA TORINO 300-S,3
CHEVROLET CHEVETTE DL,3
FIAT IVECO,3
COMODINA,3
DUJUAN,3
CHEVROLET CAMARO,3
SCHELL,3
GREAT DANE,3
JORVIC,3
CIMEC,3
GMC CHEVETTE(GENERAL MOTORS CO,3
ACOPLADO,3
INCARVITT,3
IKA GLADIATOR,3
TURISCAR,3
ALASIA,3
BORWARD,3
 SCANIA,3
SUZUKI SUPER CARRY,3
REMOLQUES RECONQUISTA,2
VALIANT I,2
MERCEDES BENZ LO1114/48,2
HELVETICA.,2
NN,2
ZIL,2
-031-DAEWOO,2
BUIK,2
047-FORD,2
DEL REY,2
ISTILART,2
OPEL CORSA,2
FORD (026),2
RITTER,2
SSANGYOUNG,2
IKA BERGANTIN,2
MOVIL TANQUES,2
FEIHU,2
 GENERAL MOTORS,2
S,2
SMART                         ,2
HANOMAG,2
08 - CHEVROLET,2
RAM                           ,2
FIAT 147,2
PIOTTO,2
EL TORO,2
VICTORIA,2
RENAULT 4 FURGONETTE,2
THANOS,2
MERCEDES,2
---------,2
METALURGICA LINCOLN,2
SUBARU                        ,2
-025-CHRYSLER,2
NAVISTAR INTERNATIONAL,2
MGB,2
INDUSTRIAS AHT ALZUARTE,2
COMAR,2
ARMADO FUERA FABRICA,2
RASTROJERO DISEL,2
C.M.                          ,2
INDUSTRIA METALURGICA RUTA 13,2
PANAMBI,2
C M,2
WILLYS KNIGHT,2
BUGGY,2
ROSSO,2
CHEVROLET C-20,2
JEEP WILLYS OVERLAND,2
DOREX,2
EL DORADO,2
-127- SUZUKI,2
FYEGO GTX,2
FRATELLO,2
MAR Y SOL,2
ALDE,2
MALDONADO                     ,2
MACTRAIL,2
SUZUKI SWIFT,2
CADILLAC FLEETWOOD,2
TOYOTA (130),2
ROLLS ROYCE,2
AUTO UNION DKW,2
EL SOL DE ACOPLADOS RURALES AR,2
CAFARO,2
INDECAR                       ,2
VIBERTI,2
V O L K S W A G E N,2
HILLMAN,2
DI TELLA MAGNETTE II,2
VOLKSWAGEN (034),2
ESTANCIERA  IKA,2
MAR Y SIERRAS,2
-112- RENAULT,2
PEUGEOT SEDAN 4,2
0,2
JINBEI,2
KM 0,2
MAZDA 323,2
PATRI,2
L G P,2
METALURGICA IMPAGRO,2
INTERNATIONAL  HARVESTER,2
WINNEBAGO,2
STAHL,2
INTERNATIONAL HARVESTER,2
FIAT 600E,2
IKA-TORINO 380-W,2
FIOL,2
GALLOPER                      ,2
DELL'ORO,2
F.S.O.,2
BAQUEANO 500,2
RURAL MORRIS,2
CHANG FEI,2
"V,W",2
MONTBLANC,2
RENAULT (112),2
NASH,2
WIPPET,2
ERSKINE,2
CUTAN,2
MAZDA                         ,2
I.K.A.                        ,2
999,2
SCHIFFER,2
LIEBHERR,2
GRUMETT-CHEVROLET,2
ARMADO,2
ACOPLADOS RICCHINI,2
PRATTI-FRUEHAUF,2
FORD 500,2
RENAULT IKA DAUP,2
-004-ALFA ROMEO,2
ALEJANDRA,2
NAVATUC,2
-055- HONDA,2
ARGENTA SIAM,2
VALIANT III CORONADO,2
RENAULT DAUP.,2
AUTOLATINA,2
IZUSU,2
DOBLE ZETA,2
CHANGAN,2
PABLO TERRENO,2
VOLKSWAGEN         V,2
CARROCERIAS OSCARCITO,2
CHEROGA,2
SERRA,2
G.M.C.CHEVETTE,2
SS,2
MONTENEGRO HNOS.,2
SUZUKI SWIFT SE,2
RAMBO,2
RASTROJERO D.,2
044-FIAT,2
SICTAR,2
OPEL                          ,2
BAQUEANO I.K.A.,2
NISSAN 4X4,2
MORGAN,2
DACIA TLX,2
MERCEDES BENZ 250CE,2
 LAMBERT,2
P.U. RILEY,2
S STOESSEL,2
RENAULT 4L IKA,2
EL GRILLO,2
V.I.N.,2
IKA GLADIADOR,2
TORINO IKA,2
HERMAN,2
MIRIAM,2
TRAVIESA,2
WYLLIS,2
PEUGEOT 403,2
ISARD 700,2
ACOPLADOS CONESE,2
DIMATRA,2
JEEP ESTANCIERA               ,2
A ROMEO,2
OPEL CORSA SWING,2
FORD  FALCON,2
TROJERO DIESEL,2
NAVARRO HNOS S.R.L.,2
BENTLEY,2
SPACE,2
MALDONADO HNOS,2
F.H,2
PATRI FRUEHAUF,2
L.G.P.,1
FORD VAN,1
HERNANN,1
JEEP UNIVERSAL,1
G.M.C. CHEVETTE               ,1
POR-PAP,1
34 - PEUGEOT,1
GMC CHEVETTE (GMC),1
CUMMINS,1
VOLVO/MARCOPOLO,1
VOLKSWAGEN            VOLKSWAG,1
ZORZAL,1
PLAYERA,1
PEUGEOT (104),1
FORD MOTOR ARGENTINA S.A.,1
F 500,1
 ALFA ROMEO,1
RAMBLER I.K.A.,1
CHVROLET CORSA,1
TORRESI                       ,1
JEEP ESTNACIERA,1
MAGIRUZ DEUTZ,1
-180- LAND ROVER,1
AMERICANA,1
IKA RENAULT R-4,1
GMC(GRAL MOTORS CORPORATION),1
SUZUKI SWIFT NL,1
JEEP-IKA                     1,1
CAMION,1
1500,1
-027- CITROEN,1
RASTROJERO DSL,1
PLASTIFIBRA,1
-018-BMW,1
FORD ARGENTINA S.A.           ,1
FIVIAR,1
JEEP GALDIATOR X SUPER,1
GOL GLI,1
BORGWARD ISABELLA,1
PALUMBO,1
JEEP WILLIS,1
PRATI FRAUEAUF,1
G.M.C CHEVETTE,1
TIPO 220S,1
MERCURY MONTERREY,1
CONSTRUCCIONES METALURGICAS,1
MONTRNEGRO,1
IKA - TORINO,1
GOYENECHE Y CABRIO,1
CRESCENTES,1
901268MARCA   INVALIDA,1
IKA - TORINO 380,1
O.M.,1
JEEP WILLIAMS,1
NO CORRESPONDE MARCA NI,1
PLYMOUTH                      ,1
ROLLS-ROYCE,1
RENAULT 850,1
JEEP WILLYS OVER,1
FORD FALCON LUJ,1
BEDFOR,1
IKA - ESTANCIERA              ,1
GMC CHEVROLET,1
VANESA,1
JEEP-T-80,1
SINCA 1300,1
